query_id,difficulty,category_slot,domain_slot,query_en,query_ko,original_language,query_author,author_role,date_written,results_not_seen_yes,notes
C03,complex,treatment_vs_control,author_choice_domain,RNA-seq of anti-PD-1-treated versus vehicle-control melanoma mouse models,항 PD-1 투여군과 용매 대조군 흑색종 마우스 모델의 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C04,complex,pre_vs_post_treatment,author_choice_domain,Single-cell RNA sequencing before and after neoadjuvant chemotherapy in patients with breast cancer,유방암 환자의 선행항암화학요법 전후 단일세포 RNA 시퀀싱,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C05,complex,responder_vs_nonresponder,author_choice_domain,Single-cell immune profiling of immunotherapy responders and nonresponders with non-small-cell lung cancer,비소세포폐암 면역항암치료 반응군과 비반응군의 단일세포 면역 프로파일링,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C06,complex,longitudinal,author_choice_domain,Longitudinal single-cell transcriptomics of peripheral blood before and during immune-checkpoint blockade in patients with melanoma,흑색종 환자의 면역관문억제 치료 전과 치료 중 말초혈액 종단 단일세포 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C07,complex,time_series,author_choice_domain,Time-series RNA-seq of human iPSC differentiation into cardiomyocytes over 30 days,인간 iPSC가 심근세포로 분화하는 30일 동안의 시계열 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C08,complex,dose_response,author_choice_domain,Dose-dependent transcriptomic responses of liver organoids to acetaminophen exposure,아세트아미노펜 노출 용량에 따른 간 오가노이드의 전사체 반응,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C09,complex,knockout_or_perturbation,author_choice_domain,Single-cell transcriptomic changes after CRISPR knockout of TP53 in colorectal-cancer organoids,대장암 오가노이드에서 TP53 CRISPR 결손 후 단일세포 전사체 변화,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C10,complex,multi_tissue_comparison,author_choice_domain,"Multi-tissue single-cell RNA-seq comparison of immune-cell signatures across gut, liver and lung","장, 간 및 폐의 면역세포 특성을 비교하는 다중조직 단일세포 RNA-seq",ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C11,complex,multi_cell_type_comparison,author_choice_domain,Single-cell RNA-seq comparing macrophage and T-cell transcriptomic states in rheumatoid arthritis,류마티스 관절염에서 대식세포와 T세포의 전사체 상태를 비교하는 단일세포 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C12,complex,cross_species,author_choice_domain,Cross-species single-cell RNA-seq comparison of microglia in human and mouse Alzheimer's disease models,인간과 마우스 알츠하이머병 모델 미세아교세포의 종간 단일세포 RNA-seq 비교,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C13,complex,dual_disease_or_comorbidity,author_choice_domain,Single-nucleus RNA-seq of liver tissue from patients with both type 2 diabetes and metabolic dysfunction-associated steatotic liver disease,2형 당뇨병과 대사이상 관련 지방간질환을 함께 가진 환자 간 조직의 단일핵 RNA-seq,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C14,complex,multi_omics,author_choice_domain,Integrated single-cell RNA-seq and spatial transcriptomics in pancreatic ductal adenocarcinoma,췌장관선암종의 단일세포 RNA-seq 및 공간 전사체 통합 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C15,complex,spatial_plus_histology,author_choice_domain,Spatial transcriptomics integrated with hematoxylin-and-eosin histology in HER2-positive breast cancer,HER2 양성 유방암의 H&E 조직병리 이미지 통합 공간 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C16,complex,age_or_sex_stratified,author_choice_domain,Age- and sex-stratified single-cell RNA-seq atlas of human peripheral-blood mononuclear cells,인간 말초혈액 단핵세포의 연령 및 성별 층화 단일세포 RNA-seq 지도,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C17,complex,negation_or_exclusion,author_choice_domain,Single-cell transcriptomics of EGFR-wild-type and ALK-negative non-small-cell lung cancer,EGFR 야생형 및 ALK 음성 비소세포폐암의 단일세포 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C18,complex,treatment_naive,author_choice_domain,Single-cell immune landscape of treatment-naive patients with newly diagnosed multiple myeloma,치료 이력이 없는 신규 진단 다발성 골수종 환자의 단일세포 면역 특성,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C19,complex,matched_normal_or_adjacent,author_choice_domain,Single-nucleus RNA sequencing of clear-cell renal-cell carcinoma and matched adjacent normal kidney,투명세포 신세포암과 짝지은 인접 정상 신장 조직의 단일핵 RNA 시퀀싱,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
C20,complex,author_choice_complex,author_choice_domain,Spatial transcriptomics of cellular neighborhoods and ligand-receptor interactions in triple-negative breast cancer,삼중음성 유방암의 세포 이웃 및 리간드-수용체 상호작용을 위한 공간 전사체 분석,ko,Hojin Lee,author,2026-09-02,yes,Human-authored; no AI-generated draft; author reviewed
